<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBRX.US,5,20240509,193500,8.04,8.06,8.015,8.025,9521,0
IBRX.US,5,20240509,194000,8.03,8.05,8.02,8.03,12132,0
IBRX.US,5,20240509,194500,8.04,8.04,8.005,8.005,20308,0
IBRX.US,5,20240509,195000,8.0083,8.02,7.98,8,51295,0
IBRX.US,5,20240509,195500,8.005,8.0471,8.005,8.035,9546,0
IBRX.US,5,20240509,200000,8.03,8.05,8.01,8.04,20811,0
IBRX.US,5,20240509,200500,8.0301,8.0301,7.995,7.995,16467,0
IBRX.US,5,20240509,201000,7.995,8,7.975,7.975,22324,0
IBRX.US,5,20240509,201500,7.965,8,7.965,7.9884,13745,0
IBRX.US,5,20240509,202000,7.985,8.01,7.985,8.0099,14049,0
IBRX.US,5,20240509,202500,8.0084,8.015,7.99,7.9918,20129,0
IBRX.US,5,20240509,203000,7.9917,8.05,7.9917,8.035,24830,0
IBRX.US,5,20240509,203500,8.035,8.045,8.01,8.0101,8882,0
IBRX.US,5,20240509,204000,8.01,8.025,8,8.025,39596,0
IBRX.US,5,20240509,204500,8.025,8.025,7.99,7.995,12948,0
IBRX.US,5,20240509,205000,7.99,8,7.945,7.96,19020,0
IBRX.US,5,20240509,205500,7.955,7.96,7.93,7.94,41744,0
IBRX.US,5,20240509,210000,7.95,8.055,7.945,8.055,13223,0
IBRX.US,5,20240509,210500,8.05,8.06,8.03,8.035,41496,0
IBRX.US,5,20240509,211000,8.04,8.04,7.9907,8,41706,0
IBRX.US,5,20240509,211500,7.99,8.06,7.98,8.055,25526,0
IBRX.US,5,20240509,212000,8.055,8.085,8.04,8.07,31086,0
IBRX.US,5,20240509,212500,8.07,8.095,8.03,8.05,41022,0
IBRX.US,5,20240509,213000,8.065,8.09,8.02,8.08,70229,0
IBRX.US,5,20240509,213500,8.08,8.105,8.065,8.1,60458,0
IBRX.US,5,20240509,214000,8.095,8.125,8.09,8.11,41796,0
IBRX.US,5,20240509,214500,8.1013,8.165,8.08,8.085,101330,0
